output_study,output_dataset,output_version,output_variable,input_study,input_dataset,input_version,input_variable
soep-test,apgen,v3,ap37,soep-test,ap,v3,ap35
soep-test,apgen,v3,ap37,soep-test,ap,v3,ap36
soep-test,apgen,v3,ap37k,soep-test,ap,v3,ap35
soep-test,apgen,v3,ap37k,soep-test,ap,v3,ap36
soep-test,bpgen,v3,bp37,soep-test,bp,v3,bp35
soep-test,bpgen,v3,bp37,soep-test,bp,v3,bp36
soep-test,bpgen,v3,bp37k,soep-test,bp,v3,bp35
soep-test,bpgen,v3,bp37k,soep-test,bp,v3,bp36
soep-test,cpgen,v3,cp38,soep-test,cp,v3,cp35
soep-test,cpgen,v3,cp38,soep-test,cp,v3,cp36
soep-test,cpgen,v3,cp38k,soep-test,cp,v3,cp35
soep-test,cpgen,v3,cp38k,soep-test,cp,v3,cp36
soep-test,ahgen,v3,ah11,soep-test,ah,v3,ah10
soep-test,bhgen,v3,bh11,soep-test,bh,v3,bh10
soep-test,chgen,v3,ch11,soep-test,ch,v3,ch10
soep-test,ahgen,v3,ah12,soep-test,ap,v3,PERSNR
soep-test,ahgen,v3,ah12,soep-test,ah,v3,ah02
soep-test,bhgen,v3,bh12,soep-test,bp,v3,PERSNR
soep-test,bhgen,v3,bh12,soep-test,bh,v3,bh02
soep-test,chgen,v3,ch12,soep-test,cp,v3,PERSNR
soep-test,chgen,v3,ch12,soep-test,ch,v3,ch02
