study,logical_dataset,name,concept,dataset_raw,variable_raw,questionnaire,question,item,primary_key,description,description_long,boost,basket_key,basket_is_default
soep-test,ah-raw,hkind,hkind,,,,,,,,,,,
soep-test,ah-raw,hkind_dummy,hkind_dummy,,,,,,,,,,,
soep-test,ah-raw,hkgeba,hkgeba,,,,,,,,,,,
soep-test,ah-raw,hkgebb,hkgebb,,,,,,,,,,,
soep-test,ah-raw,hkgebc,hkgebc,,,,,,,,,,,
soep-test,ah-raw,hkgebd,hkgebd,,,,,,,,,,,
soep-test,ah-raw,hvj,hvj,,,,,,,,,,,
soep-test,ah-raw,hwohn01,hwohn01,,,,,,,,,,,
soep-test,ah-raw,hm04,hm04,,,,,,,,,,,
soep-test,ah-raw,hnetto,hnetto,,,,,,,,,,,
soep-test,ah,ah01,hkind,ah-raw,hkind,soep-test-2001-hh,1,,,,,,,
soep-test,ah,ah02,hkind_dummy,ah-raw,hkind_dummy,soep-test-2001-hh,2,,,,,,,
soep-test,ah,ah03,hkgeba,ah-raw,hkgeba,soep-test-2001-hh,3,,,,,,,
soep-test,ah,ah04,hkgebb,ah-raw,hkgebb,soep-test-2001-hh,3,,,,,,,
soep-test,ah,ah05,hkgebc,ah-raw,hkgebc,soep-test-2001-hh,3,,,,,,,
soep-test,ah,ah06,hkgebd,ah-raw,hkgebd,soep-test-2001-hh,3,,,,,,,
soep-test,ah,ah07,hvj,ah-raw,hvj,soep-test-2001-hh,4,,,,,,,
soep-test,ah,ah08,hwohn01,ah-raw,hwohn01,soep-test-2001-hh,5,,,,,,,
soep-test,ah,ah09,hm04,ah-raw,hm04,soep-test-2001-hh,6,,,,,,,
soep-test,ah,ah10,hnetto,ah-raw,hnetto,soep-test-2001-hh,7,,,,,,,
soep-test,al-raw,lsta1,lsta1,,,,,,,,,,,
soep-test,al-raw,lzug01,lzug01,,,,,,,,,,,
soep-test,al-raw,lzug02,lzug02,,,,,,,,,,,
soep-test,al-raw,lwied,lwied,,,,,,,,,,,
soep-test,al-raw,lgesch1,lgesch1,,,,,,,,,,,
soep-test,al-raw,lab021,lab021,,,,,,,,,,,
soep-test,al-raw,lab031,lab031,,,,,,,,,,,
soep-test,al-raw,lab041,lab041,,,,,,,,,,,
soep-test,al-raw,lab051,lab051,,,,,,,,,,,
soep-test,al-raw,lab061,lab061,,,,,,,,,,,
soep-test,al-raw,lab071,lab071,,,,,,,,,,,
soep-test,al-raw,lab081,lab081,,,,,,,,,,,
soep-test,al-raw,lkno,lkno,,,,,,,,,,,
soep-test,al-raw,lkind,lkind,,,,,,,,,,,
soep-test,al,al01,lsta1,al-raw,lsta1,soep-test-2001-ll,1,,,,,,,
soep-test,al,al02,lzug01,al-raw,lzug01,soep-test-2001-ll,2,,,,,,,
soep-test,al,al03,lzug02,al-raw,lzug02,soep-test-2001-ll,3,,,,,,,
soep-test,al,al04,lwied,al-raw,lwied,soep-test-2001-ll,4,,,,,,,
soep-test,al,al05,lgesch1,al-raw,lgesch1,soep-test-2001-ll,5,,,,,,,
soep-test,al,al06,lab021,al-raw,lab021,soep-test-2001-ll,6,2,,,,,,
soep-test,al,al07,lab031,al-raw,lab031,soep-test-2001-ll,6,3,,,,,,
soep-test,al,al08,lab041,al-raw,lab041,soep-test-2001-ll,6,4,,,,,,
soep-test,al,al09,lab051,al-raw,lab051,soep-test-2001-ll,6,5,,,,,,
soep-test,al,al10,lab061,al-raw,lab061,soep-test-2001-ll,6,6,,,,,,
soep-test,al,al11,lab071,al-raw,lab071,soep-test-2001-ll,6,7,,,,,,
soep-test,al,al12,lab081,al-raw,lab081,soep-test-2001-ll,6,8,,,,,,
soep-test,al,al13,lkno,al-raw,lkno,soep-test-2001-ll,7,,,,,,,
soep-test,al,al14,lkind,al-raw,lkind,soep-test-2001-ll,8,,,,,,,
soep-test,al,ahhnr,ahhnr,,,,,,,,,,h,TRUE
soep-test,ap-raw,psex,psex,,,,,,,,,,,
soep-test,ap-raw,ppgeb,ppgeb,,,,,,,,,,,
soep-test,ap-raw,ppnat,ppnat,,,,,,,,,,,
soep-test,ap-raw,pfamst,pfamst,,,,,,,,,,,
soep-test,ap-raw,pfs0111,pfs0111,,,,,,,,,,,
soep-test,ap-raw,pfs0211,pfs0211,,,,,,,,,,,
soep-test,ap-raw,pfs0311,pfs0311,,,,,,,,,,,
soep-test,ap-raw,pfs1111,pfs1111,,,,,,,,,,,
soep-test,ap-raw,pfs0411,pfs0411,,,,,,,,,,,
soep-test,ap-raw,pfs0511,pfs0511,,,,,,,,,,,
soep-test,ap-raw,pfs0611,pfs0611,,,,,,,,,,,
soep-test,ap-raw,pfs0711,pfs0711,,,,,,,,,,,
soep-test,ap-raw,pfs0811,pfs0811,,,,,,,,,,,
soep-test,ap-raw,pfs0911,pfs0911,,,,,,,,,,,
soep-test,ap-raw,pfs121,pfs121,,,,,,,,,,,
soep-test,ap-raw,pfs131,pfs131,,,,,,,,,,,
soep-test,ap-raw,pfs101,pfs101,,,,,,,,,,,
soep-test,ap-raw,pzule1,pzule1,,,,,,,,,,,
soep-test,ap-raw,pzuf01,pzuf01,,,,,,,,,,,
soep-test,ap-raw,pzuf02,pzuf02,,,,,,,,,,,
soep-test,ap-raw,pzuf03,pfzuf03,,,,,,,,,,,
soep-test,ap-raw,pzuf04,pzuf04,,,,,,,,,,,
soep-test,ap-raw,pzuf05,pzuf05,,,,,,,,,,,
soep-test,ap-raw,pzuf06,pzuf06,,,,,,,,,,,
soep-test,ap-raw,pzuf07,pzuf07,,,,,,,,,,,
soep-test,ap-raw,pzuf08,pzuf08,,,,,,,,,,,
soep-test,ap-raw,pzuf09,pzuf09,,,,,,,,,,,
soep-test,ap-raw,pzuf10,pzuf10,,,,,,,,,,,
soep-test,ap-raw,pzuf11,pzuf11,,,,,,,,,,,
soep-test,ap-raw,pber,pber,,,,,,,,,,,
soep-test,ap-raw,pvek012,pvek012,,,,,,,,,,,
soep-test,ap-raw,pvek022,pvek022,,,,,,,,,,,
soep-test,ap-raw,ppol1,ppol1,,,,,,,,,,,
soep-test,ap-raw,ppol3,ppol3,,,,,,,,,,,
soep-test,ap-raw,pgr,pgr,,,,,,,,,,,
soep-test,ap-raw,pkilo,pkilo,,,,,,,,,,,
soep-test,ap,ap01,psex,ap-raw,psex,soep-test-2001-pe,1,,,,,,,
soep-test,ap,ap02,ppgeb,ap-raw,ppgeb,soep-test-2001-pe,2,,,,,,,
soep-test,ap,ap03,ppnat,ap-raw,ppnat,soep-test-2001-pe,3,,,,,,,
soep-test,ap,ap04,pfamst,ap-raw,pfamst,soep-test-2001-pe,4,,,,,,,
soep-test,ap,ap05,pfs0111,ap-raw,pfs0111,soep-test-2001-pe,5,11,,,,,,
soep-test,ap,ap06,pfs0211,ap-raw,pfs0211,soep-test-2001-pe,5,21,,,,,,
soep-test,ap,ap07,pfs0311,ap-raw,pfs0311,soep-test-2001-pe,5,31,,,,,,
soep-test,ap,ap08,pfs1111,ap-raw,pfs1111,soep-test-2001-pe,5,111,,,,,,
soep-test,ap,ap09,pfs0411,ap-raw,pfs0411,soep-test-2001-pe,5,41,,,,,,
soep-test,ap,ap10,pfs0511,ap-raw,pfs0511,soep-test-2001-pe,5,51,,,,,,
soep-test,ap,ap11,pfs0611,ap-raw,pfs0611,soep-test-2001-pe,5,61,,,,,,
soep-test,ap,ap12,pfs0711,ap-raw,pfs0711,soep-test-2001-pe,5,71,,,,,,
soep-test,ap,ap13,pfs0811,ap-raw,pfs0811,soep-test-2001-pe,5,81,,,,,,
soep-test,ap,ap14,pfs0911,ap-raw,pfs0911,soep-test-2001-pe,5,91,,,,,,
soep-test,ap,ap15,pfs121,ap-raw,pfs121,soep-test-2001-pe,5,121,,,,,,
soep-test,ap,ap16,pfs131,ap-raw,pfs131,soep-test-2001-pe,5,131,,,,,,
soep-test,ap,ap17,pfs101,ap-raw,pfs101,soep-test-2001-pe,5,101,,,,,,
